dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6982,0.667,0.735,0.6,0.2069,0.6827,0.7474,0.5928,0.2034
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6988,0.6679,0.7352,0.6,0.2069,0.684,0.7474,0.5929,0.2035
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6988,0.6679,0.7352,0.6,0.2069,0.684,0.7474,0.5929,0.2035
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6985,0.6682,0.7351,0.6,0.2069,0.6834,0.7474,0.5929,0.2035
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6988,0.6679,0.7351,0.6,0.2069,0.684,0.7474,0.5929,0.2034
regular_season_only,regular_plus_playoff_context,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",70,0.7267,0.6705,0.7335,0.6,0.2066,0.6807,0.7425,0.595,0.2042
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6984,0.6673,0.735,0.6,0.2069,0.6827,0.7474,0.5929,0.2035
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6987,0.6684,0.7352,0.6,0.2069,0.6844,0.7474,0.5929,0.2035
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6984,0.6673,0.735,0.6,0.2069,0.6827,0.7474,0.5929,0.2035
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6988,0.6676,0.7351,0.6,0.2069,0.6838,0.7474,0.5929,0.2034
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6984,0.667,0.735,0.6,0.2069,0.6827,0.7474,0.5928,0.2034
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6985,0.6673,0.735,0.6,0.2069,0.6827,0.7474,0.5929,0.2035
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6976,0.6748,0.7317,0.6003,0.207,0.6821,0.7408,0.5923,0.2036
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6977,0.6664,0.7343,0.6004,0.207,0.6827,0.7468,0.5932,0.2036
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6982,0.6661,0.7343,0.6004,0.207,0.6815,0.7468,0.5932,0.2036
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6982,0.6757,0.7316,0.6005,0.207,0.6785,0.74,0.5939,0.2043
playoffs_only,regular_plus_playoff_context,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",70,0.7836,0.7,0.7557,0.6005,0.2052,0.6985,0.747,0.5844,0.2
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6981,0.6702,0.7348,0.6007,0.207,0.6834,0.7461,0.5947,0.2041
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.7406,0.688,0.7679,0.6007,0.2045,0.7075,0.7668,0.5691,0.1931
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6978,0.6741,0.7351,0.6009,0.2069,0.6856,0.7475,0.5928,0.2033
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6978,0.6741,0.7351,0.6009,0.2069,0.6856,0.7475,0.5928,0.2033
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6978,0.6741,0.7351,0.6009,0.2069,0.6856,0.7474,0.5928,0.2033
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.696,0.6682,0.7343,0.6009,0.2072,0.6819,0.7406,0.5982,0.2056
regular_season_only,regular_all_home_away_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",196,0.7307,0.6693,0.733,0.6009,0.2072,0.6805,0.7412,0.5958,0.2046
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6978,0.6741,0.7351,0.6009,0.2069,0.6856,0.7475,0.5928,0.2033
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6978,0.6741,0.7351,0.6009,0.2069,0.6856,0.7475,0.5928,0.2033
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6986,0.6782,0.731,0.6009,0.2072,0.6729,0.7374,0.6002,0.2069
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6978,0.6741,0.7351,0.6009,0.2069,0.6856,0.7475,0.5928,0.2033
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'balanced'}",66,0.6864,0.6788,0.7364,0.601,0.2071,0.6862,0.7468,0.5915,0.2032
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6985,0.6798,0.731,0.601,0.2073,0.6727,0.7377,0.5997,0.2066
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'balanced'}",66,0.6873,0.6788,0.7364,0.6011,0.2072,0.6864,0.7469,0.5913,0.2031
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6972,0.6809,0.7312,0.6011,0.2073,0.6693,0.7343,0.6081,0.2101
all_games,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6977,0.6707,0.7326,0.6011,0.2073,0.6827,0.7412,0.5951,0.2046
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6984,0.6687,0.7347,0.6011,0.2072,0.6838,0.7461,0.5949,0.204
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6972,0.6801,0.731,0.6012,0.2073,0.6647,0.7333,0.6094,0.2105
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6976,0.6676,0.7341,0.6012,0.2072,0.6825,0.7456,0.595,0.2041
