dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6676,0.6358,0.6783,0.6393,0.2237,0.6454,0.697,0.6326,0.2206
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6642,0.6364,0.6797,0.6393,0.2239,0.6417,0.6986,0.632,0.2205
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6627,0.6402,0.6807,0.6393,0.2238,0.6434,0.6994,0.6315,0.2203
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6639,0.6364,0.68,0.6393,0.2237,0.6454,0.6985,0.631,0.22
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6553,0.642,0.6807,0.6394,0.2236,0.6407,0.6888,0.6604,0.2268
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6585,0.6364,0.6788,0.6394,0.2239,0.638,0.6849,0.66,0.2276
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6587,0.6361,0.6787,0.6394,0.2239,0.6384,0.684,0.6611,0.228
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6657,0.6324,0.6792,0.6394,0.2239,0.6461,0.6956,0.6329,0.2209
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6651,0.6343,0.6795,0.6395,0.2239,0.6436,0.6982,0.6322,0.2205
regular_season_only,minimal_strong_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",9,0.69,0.637,0.6778,0.6395,0.2242,0.6459,0.6974,0.6303,0.22
